"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2019","9,395.2","9,445.0","9,569.4","9,040.0","5.76K","-0.53%"
"07/18/2019","9,445.0","8,644.4","9,583.7","8,301.2","9.54K","9.21%"
"07/17/2019","8,648.6","8,404.0","8,905.0","8,102.2","10.58K","2.91%"
"07/16/2019","8,404.0","9,639.1","9,808.7","8,351.6","11.25K","-12.91%"
"07/15/2019","9,650.0","9,456.1","9,848.3","8,801.0","8.43K","2.01%"
"07/14/2019","9,460.0","10,132.2","10,195.0","9,199.0","5.69K","-6.57%"
"07/13/2019","10,125.0","10,484.8","10,514.3","9,613.0","4.63K","-3.43%"
"07/12/2019","10,484.8","10,088.3","10,600.0","9,850.0","5.68K","3.90%"
"07/11/2019","10,091.4","10,760.1","10,760.1","9,800.0","11.62K","-6.21%"
"07/10/2019","10,760.1","11,221.3","11,732.1","10,304.1","13.11K","-4.11%"
"07/09/2019","11,221.3","10,975.0","11,460.7","10,835.8","10.04K","2.24%"
"07/08/2019","10,975.0","10,219.9","11,063.0","10,089.6","7.59K","7.36%"
"07/07/2019","10,222.4","10,017.8","10,337.6","9,856.5","3.76K","2.04%"
"07/06/2019","10,017.8","9,819.9","10,422.0","9,802.6","4.93K","2.23%"
"07/05/2019","9,798.8","9,883.2","10,203.2","9,593.2","7.33K","-1.02%"
"07/04/2019","9,900.0","10,608.8","10,670.0","9,837.7","8.21K","-6.69%"
"07/03/2019","10,609.8","9,589.0","10,643.1","9,589.0","12.63K","10.67%"
"07/02/2019","9,587.1","9,374.3","9,700.0","8,556.0","14.93K","2.27%"
"07/01/2019","9,374.3","9,452.5","9,874.5","8,816.1","12.17K","-0.83%"
"06/30/2019","9,452.5","10,441.4","10,720.0","9,385.0","7.91K","-9.51%"
"06/29/2019","10,445.4","10,876.9","10,877.3","9,950.1","7.19K","-3.97%"
"06/28/2019","10,876.9","9,801.4","10,939.9","9,470.6","12.18K","10.97%"
